province,year,active_insured_total,category,indicator,unit,geographical_region,statistical_region
Afyonkarahisar,2018,172200,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2019,170045,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2020,181378,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2021,188652,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2022,198392,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2023,190001,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Afyonkarahisar,2024,194190,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Ege,Ege
Aksaray,2009,62117,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2010,67639,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2011,73400,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2012,75850,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2013,74185,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2014,78340,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2015,83854,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2016,86304,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2017,93052,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2018,94553,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2019,92891,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2020,98919,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2021,105414,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2022,111787,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2023,108546,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Aksaray,2024,114078,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,İç Anadolu,Orta Anadolu
Amasya,2009,62865,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2010,70237,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2011,69404,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2012,70507,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2013,70632,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2014,72297,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2015,75699,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2016,77489,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2017,82253,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2018,78933,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2019,76353,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2020,81032,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2021,85548,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2022,93373,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2023,88394,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
Amasya,2024,86379,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Karadeniz,Batı Karadeniz
