province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Amasya,2022,313831.0,7244.0,26298.0,49533.0,71196.0,47723.0,4385.0,709.0,0.02308248707106691,0.22686095382546656,0.15206592083000087,0.016231666087798847
Amasya,2023,316138.0,7057.0,26096.0,49909.0,72676.0,48519.0,4732.0,747.0,0.022322530034352087,0.2298869481049415,0.15347411573426795,0.01733103897664944
Amasya,2024,320832.0,6663.0,25273.0,49591.0,75424.0,52216.0,5328.0,827.0,0.02076787851585877,0.2350887692000798,0.16275184520247357,0.01918449531218831
Ankara,2021,5158955.0,78853.0,392154.0,794379.0,1321201.0,1132120.0,182044.0,37557.0,0.015284684592131547,0.25609857035000305,0.21944754315554216,0.042566953966452506
Ankara,2022,5228966.0,79518.0,389583.0,772501.0,1370349.0,1179061.0,191793.0,38925.0,0.015207213051299243,0.2620688296691927,0.22548645372718049,0.04412306371852485
Ankara,2023,5287062.0,79434.0,390390.0,777895.0,1401308.0,1223192.0,203334.0,41023.0,0.015024223283176933,0.265044745077701,0.2313557132486814,0.046217918382648056
Ankara,2024,5377412.0,76655.0,388125.0,776575.0,1446377.0,1264054.0,213730.0,43691.0,0.014254998501137721,0.26897269541556423,0.23506735210171734,0.04787079732778519
Antalya,2021,2287823.0,21318.0,213117.0,386954.0,544726.0,393369.0,38960.0,6085.0,0.00931802853629848,0.23809796474639866,0.1719403118160802,0.019689023145584253
Antalya,2022,2328490.0,22590.0,211070.0,379839.0,573096.0,413128.0,41682.0,6302.0,0.009701566251089762,0.24612345339683658,0.1774231368827008,0.02060734639186769
Antalya,2023,2384566.0,24820.0,210484.0,392209.0,597389.0,437013.0,45736.0,6772.0,0.010408602655577576,0.25052315599568226,0.18326731153593567,0.022019939896819798
Antalya,2024,2430402.0,24224.0,210443.0,394457.0,620040.0,454539.0,48954.0,7260.0,0.009967075405632483,0.2551182890731657,0.18702214695346694,0.023129506970451803
Ardahan,2021,87479.0,4414.0,7947.0,17632.0,17020.0,9710.0,1120.0,206.0,0.05045782416351353,0.19456098034956962,0.11099806810777443,0.015157923615953544
Ardahan,2022,85544.0,4165.0,7576.0,16863.0,17311.0,9789.0,1100.0,219.0,0.04868839427662957,0.2023636958758066,0.11443233891330777,0.01541896567848125
Ardahan,2023,85987.0,3966.0,7640.0,16528.0,18248.0,10320.0,1184.0,239.0,0.04612325118913324,0.21221812599579007,0.120018142277321,0.016549013222929048
Ardahan,2024,84857.0,3740.0,7303.0,16108.0,18777.0,10353.0,1148.0,258.0,0.04407414827297689,0.22127815029991632,0.12200525590110421,0.0165690514630496
Artvin,2021,158363.0,4326.0,12721.0,24585.0,42198.0,25232.0,2193.0,420.0,0.02731698692245032,0.2664637573170501,0.15933014656201258,0.016500066303366315
Artvin,2022,158868.0,4065.0,12368.0,23794.0,44358.0,25644.0,2244.0,424.0,0.025587280006042754,0.2792129314902938,0.1614170254550948,0.016793816249968528
Artvin,2023,162202.0,3849.0,12144.0,24011.0,46381.0,27011.0,2435.0,461.0,0.023729670410969038,0.2859459192858288,0.16652692321919582,0.017854280465099074
Artvin,2024,159715.0,3621.0,11616.0,23190.0,46585.0,27229.0,2445.0,480.0,0.02267163384779138,0.2916757975143224,0.1704849262749272,0.01831387158375857
Aydın,2021,1042855.0,16073.0,94932.0,173606.0,217681.0,158770.0,15488.0,2567.0,0.01541249742293991,0.20873563438828985,0.15224551831270886,0.01731304927338892
Aydın,2022,1055493.0,15680.0,93629.0,172479.0,226393.0,166116.0,16553.0,2659.0,0.01485561723289496,0.2144902903193105,0.15738237960839152,0.018201920808570023
Aydın,2023,1072679.0,15960.0,93728.0,177472.0,236617.0,170851.0,17919.0,2895.0,0.014878635640298728,0.22058509582083735,0.1592750487331252,0.019403754524885825
