tr_code,province,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,year
TR522,Karaman,2021-2022,104.47,61.77,42.71,2022
TR522,Karaman,2022-2023,108.01,64.88,43.14,2023
TR522,Karaman,2023-2024,103.08,58.65,44.43,2024
TR522,Karaman,2024-2025,99.63,58.2,41.42,2025
TRA22,Kars,2010-2011,53.8,37.46,16.34,2011
TRA22,Kars,2011-2012,60.35,41.51,18.84,2012
TRA22,Kars,2012-2013,64.31,43.6,20.71,2013
TRA22,Kars,2013-2014,78.06,46.37,31.69,2014
TRA22,Kars,2014-2015,83.25,45.16,38.08,2015
TRA22,Kars,2015-2016,84.79,47.88,36.91,2016
TRA22,Kars,2016-2017,84.36,47.8,36.56,2017
TRA22,Kars,2017-2018,105.97,55.03,50.94,2018
TRA22,Kars,2018-2019,105.84,55.32,50.52,2019
TRA22,Kars,2019-2020,103.79,60.33,43.46,2020
TRA22,Kars,2020-2021,121.3,67.68,53.62,2021
TRA22,Kars,2021-2022,112.85,61.15,51.7,2022
TRA22,Kars,2022-2023,111.83,67.59,44.23,2023
TRA22,Kars,2023-2024,99.89,55.92,43.97,2024
TRA22,Kars,2024-2025,92.33,63.17,29.16,2025
TR821,Kastamonu,2010-2011,86.88,39.54,47.35,2011
TR821,Kastamonu,2011-2012,92.96,43.16,49.8,2012
TR821,Kastamonu,2012-2013,96.52,45.22,51.3,2013
TR821,Kastamonu,2013-2014,108.56,54.74,53.82,2014
TR821,Kastamonu,2014-2015,114.65,55.44,59.21,2015
TR821,Kastamonu,2015-2016,118.96,59.87,59.09,2016
TR821,Kastamonu,2016-2017,117.29,57.43,59.86,2017
TR821,Kastamonu,2017-2018,122.27,60.64,61.63,2018
TR821,Kastamonu,2018-2019,122.3,63.69,58.61,2019
TR821,Kastamonu,2019-2020,124.4,68.45,55.96,2020
TR821,Kastamonu,2020-2021,138.39,78.73,59.65,2021
TR821,Kastamonu,2021-2022,126.37,72.64,53.73,2022
TR821,Kastamonu,2022-2023,126.58,74.69,51.89,2023
TR821,Kastamonu,2023-2024,115.3,65.28,50.01,2024
TR821,Kastamonu,2024-2025,105.38,61.41,43.97,2025
TR721,Kayseri,2010-2011,90.26,53.1,37.17,2011
TR721,Kayseri,2011-2012,94.77,54.97,39.8,2012
TR721,Kayseri,2012-2013,96.62,54.97,41.65,2013
TR721,Kayseri,2013-2014,106.38,57.98,48.4,2014
TR721,Kayseri,2014-2015,111.46,57.39,54.07,2015
TR721,Kayseri,2015-2016,115.88,60.99,54.89,2016
TR721,Kayseri,2016-2017,112.77,57.69,55.08,2017
TR721,Kayseri,2017-2018,103.23,52.23,51.0,2018
TR721,Kayseri,2018-2019,102.24,53.39,48.86,2019
TR721,Kayseri,2019-2020,105.12,58.54,46.58,2020
TR721,Kayseri,2020-2021,118.38,65.64,52.74,2021
TR721,Kayseri,2021-2022,107.77,59.0,48.77,2022
TR721,Kayseri,2022-2023,115.06,67.07,47.99,2023
TR721,Kayseri,2023-2024,103.65,56.71,46.94,2024
TR721,Kayseri,2024-2025,102.17,61.33,40.85,2025
TRC13,Kilis,2010-2011,79.66,34.07,45.58,2011
TRC13,Kilis,2011-2012,86.65,37.97,48.68,2012
TRC13,Kilis,2012-2013,92.08,43.39,48.69,2013
TRC13,Kilis,2013-2014,101.71,52.67,49.04,2014
TRC13,Kilis,2014-2015,101.48,49.35,52.13,2015
TRC13,Kilis,2015-2016,102.6,47.78,54.82,2016
TRC13,Kilis,2016-2017,97.13,45.88,51.25,2017
TRC13,Kilis,2017-2018,113.38,61.35,52.03,2018
TRC13,Kilis,2018-2019,114.29,64.39,49.9,2019
TRC13,Kilis,2019-2020,117.32,69.61,47.7,2020
TRC13,Kilis,2020-2021,130.97,78.57,52.4,2021
TRC13,Kilis,2021-2022,121.6,72.43,49.17,2022
TRC13,Kilis,2022-2023,124.94,75.57,49.37,2023
TRC13,Kilis,2023-2024,111.14,64.17,46.98,2024
TRC13,Kilis,2024-2025,101.52,59.02,42.5,2025
TR711,Kirikkale,2010-2011,98.01,49.07,48.95,2011
TR711,Kirikkale,2011-2012,104.48,50.47,54.0,2012
TR711,Kirikkale,2012-2013,106.32,51.22,55.1,2013
TR711,Kirikkale,2013-2014,109.79,50.6,59.19,2014
TR711,Kirikkale,2014-2015,112.68,51.12,61.56,2015
TR711,Kirikkale,2015-2016,116.6,52.66,63.94,2016
TR711,Kirikkale,2016-2017,115.71,52.67,63.04,2017
TR711,Kirikkale,2017-2018,118.96,65.18,53.78,2018
TR711,Kirikkale,2018-2019,119.17,69.24,49.93,2019
TR711,Kirikkale,2019-2020,120.95,75.18,45.77,2020
TR711,Kirikkale,2020-2021,133.37,85.99,47.38,2021
TR711,Kirikkale,2021-2022,120.53,77.33,43.2,2022
TR711,Kirikkale,2022-2023,125.39,83.37,42.02,2023
TR711,Kirikkale,2023-2024,117.11,76.29,40.82,2024
TR711,Kirikkale,2024-2025,105.58,61.13,44.46,2025
TR213,Kirklareli,2010-2011,97.86,48.5,49.36,2011
TR213,Kirklareli,2011-2012,99.95,47.1,52.84,2012
TR213,Kirklareli,2012-2013,100.64,47.22,53.42,2013
TR213,Kirklareli,2013-2014,106.32,52.94,53.37,2014
TR213,Kirklareli,2014-2015,107.73,55.03,52.69,2015
TR213,Kirklareli,2015-2016,110.97,61.81,49.16,2016
TR213,Kirklareli,2016-2017,107.96,64.43,43.53,2017
TR213,Kirklareli,2017-2018,118.96,65.18,53.78,2018
TR213,Kirklareli,2018-2019,119.17,69.24,49.93,2019
TR213,Kirklareli,2019-2020,120.95,75.18,45.77,2020
TR213,Kirklareli,2020-2021,133.37,85.99,47.38,2021
TR213,Kirklareli,2021-2022,120.53,77.33,43.2,2022
TR213,Kirklareli,2022-2023,125.39,83.37,42.02,2023
TR213,Kirklareli,2023-2024,117.11,76.29,40.82,2024
TR213,Kirklareli,2024-2025,98.67,62.41,36.25,2025
TR715,Kirsehir,2010-2011,90.5,52.16,38.34,2011
TR715,Kirsehir,2011-2012,94.55,52.29,42.26,2012
TR715,Kirsehir,2012-2013,100.45,54.42,46.03,2013
TR715,Kirsehir,2013-2014,105.74,57.3,48.44,2014
TR715,Kirsehir,2014-2015,107.79,57.25,50.54,2015
TR715,Kirsehir,2015-2016,112.52,59.86,52.66,2016
TR715,Kirsehir,2016-2017,110.2,58.12,52.08,2017
TR715,Kirsehir,2017-2018,109.19,51.44,57.75,2018
TR715,Kirsehir,2018-2019,108.12,53.49,54.63,2019
TR715,Kirsehir,2019-2020,109.86,57.68,52.18,2020
TR715,Kirsehir,2020-2021,122.1,64.06,58.04,2021
TR715,Kirsehir,2021-2022,114.32,58.96,55.35,2022
TR715,Kirsehir,2022-2023,114.41,60.93,53.48,2023
TR715,Kirsehir,2023-2024,105.42,54.07,51.36,2024
TR715,Kirsehir,2024-2025,106.01,61.43,44.58,2025
TR421,Kocaeli,2010-2011,101.84,50.15,51.69,2011
TR421,Kocaeli,2011-2012,108.46,52.66,55.8,2012
TR421,Kocaeli,2012-2013,111.96,55.21,56.75,2013
TR421,Kocaeli,2013-2014,119.52,57.69,61.83,2014
TR421,Kocaeli,2014-2015,120.58,57.34,63.24,2015
TR421,Kocaeli,2015-2016,122.69,60.95,61.74,2016
TR421,Kocaeli,2016-2017,120.16,60.23,59.93,2017
TR421,Kocaeli,2017-2018,112.85,58.99,53.86,2018
TR421,Kocaeli,2018-2019,113.43,61.6,51.83,2019
TR421,Kocaeli,2019-2020,116.02,67.38,48.65,2020
TR421,Kocaeli,2020-2021,130.11,76.34,53.77,2021
TR421,Kocaeli,2021-2022,120.18,69.74,50.44,2022
TR421,Kocaeli,2022-2023,123.73,73.54,50.18,2023
TR421,Kocaeli,2023-2024,110.62,63.51,47.11,2024
TR421,Kocaeli,2024-2025,104.89,57.7,47.19,2025
TR521,Konya,2010-2011,77.67,38.89,38.77,2011
TR521,Konya,2011-2012,82.45,40.23,42.22,2012
TR521,Konya,2012-2013,85.77,41.02,44.74,2013
TR521,Konya,2013-2014,97.84,45.27,52.57,2014
TR521,Konya,2014-2015,103.1,47.2,55.91,2015
TR521,Konya,2015-2016,109.41,52.86,56.55,2016
TR521,Konya,2016-2017,106.75,51.8,54.95,2017
TR521,Konya,2017-2018,100.6,54.05,46.55,2018
TR521,Konya,2018-2019,101.18,58.18,43.0,2019
TR521,Konya,2019-2020,103.21,64.91,38.3,2020
TR521,Konya,2020-2021,116.15,75.3,40.85,2021
TR521,Konya,2021-2022,113.47,72.6,40.87,2022
TR521,Konya,2022-2023,115.0,74.59,40.41,2023
TR521,Konya,2023-2024,111.67,68.21,43.46,2024
TR521,Konya,2024-2025,100.31,54.18,46.14,2025
TR333,Kutahya,2010-2011,92.2,41.33,50.87,2011
TR333,Kutahya,2011-2012,99.47,44.07,55.4,2012
TR333,Kutahya,2012-2013,105.77,45.84,59.93,2013
TR333,Kutahya,2013-2014,116.83,55.62,61.22,2014
TR333,Kutahya,2014-2015,120.41,57.45,62.96,2015
TR333,Kutahya,2015-2016,120.86,63.27,57.59,2016
TR333,Kutahya,2016-2017,118.16,62.89,55.27,2017
TR333,Kutahya,2017-2018,101.93,50.78,51.15,2018
TR333,Kutahya,2018-2019,102.74,54.51,48.24,2019
TR333,Kutahya,2019-2020,105.05,62.18,42.86,2020
TR333,Kutahya,2020-2021,117.14,71.88,45.26,2021
TR333,Kutahya,2021-2022,111.39,68.42,42.97,2022
TR333,Kutahya,2022-2023,111.63,68.79,42.83,2023
TR333,Kutahya,2023-2024,103.34,60.68,42.67,2024
TR333,Kutahya,2024-2025,104.33,52.69,51.63,2025
TRB11,Malatya,2010-2011,100.09,64.88,35.21,2011
TRB11,Malatya,2011-2012,106.03,68.37,37.65,2012
TRB11,Malatya,2012-2013,109.49,70.47,39.03,2013
TRB11,Malatya,2013-2014,117.83,70.25,47.59,2014
TRB11,Malatya,2014-2015,119.73,64.53,55.2,2015
TRB11,Malatya,2015-2016,120.96,63.07,57.89,2016
TRB11,Malatya,2016-2017,119.37,61.18,58.2,2017
TRB11,Malatya,2017-2018,113.72,59.86,53.86,2018
TRB11,Malatya,2018-2019,112.58,62.46,50.12,2019
TRB11,Malatya,2019-2020,115.85,68.3,47.56,2020
TRB11,Malatya,2020-2021,126.69,77.0,49.68,2021
TRB11,Malatya,2021-2022,116.06,70.9,45.17,2022
TRB11,Malatya,2022-2023,116.43,71.53,44.9,2023
TRB11,Malatya,2023-2024,113.77,67.32,46.45,2024
TRB11,Malatya,2024-2025,102.16,68.39,33.77,2025
TR331,Manisa,2010-2011,82.12,38.11,44.01,2011
TR331,Manisa,2011-2012,87.44,40.0,47.44,2012
TR331,Manisa,2012-2013,89.05,41.11,47.94,2013
TR331,Manisa,2013-2014,99.65,49.37,50.29,2014
TR331,Manisa,2014-2015,103.47,51.2,52.27,2015
TR331,Manisa,2015-2016,106.78,54.01,52.78,2016
TR331,Manisa,2016-2017,105.2,52.49,52.7,2017
TR331,Manisa,2017-2018,119.57,70.89,48.68,2018
TR331,Manisa,2018-2019,118.72,73.27,45.45,2019
TR331,Manisa,2019-2020,119.39,77.47,41.92,2020
TR331,Manisa,2020-2021,130.25,86.14,44.1,2021
TR331,Manisa,2021-2022,117.68,77.18,40.51,2022
TR331,Manisa,2022-2023,117.86,77.54,40.32,2023
TR331,Manisa,2023-2024,108.35,67.67,40.68,2024
TR331,Manisa,2024-2025,98.56,49.11,49.45,2025
TRC31,Mardin,2010-2011,59.72,45.21,14.5,2011
TRC31,Mardin,2011-2012,67.47,49.31,18.17,2012
TRC31,Mardin,2012-2013,73.52,51.99,21.54,2013
TRC31,Mardin,2013-2014,87.33,55.84,31.49,2014
TRC31,Mardin,2014-2015,91.55,51.96,39.59,2015
TRC31,Mardin,2015-2016,94.42,55.5,38.92,2016
TRC31,Mardin,2016-2017,87.3,49.99,37.3,2017
TRC31,Mardin,2017-2018,119.89,59.24,60.64,2018
TRC31,Mardin,2018-2019,118.98,61.16,57.82,2019
TRC31,Mardin,2019-2020,121.6,68.66,52.94,2020
TRC31,Mardin,2020-2021,135.41,75.4,60.01,2021
TRC31,Mardin,2021-2022,123.21,66.38,56.83,2022
TRC31,Mardin,2022-2023,125.42,67.01,58.41,2023
TRC31,Mardin,2023-2024,113.51,61.45,52.06,2024
TRC31,Mardin,2024-2025,95.47,54.75,40.72,2025
TR622,Mersin,2010-2011,85.14,52.81,32.33,2011
TR622,Mersin,2011-2012,88.69,53.65,35.04,2012
TR622,Mersin,2012-2013,91.13,52.54,38.59,2013
TR622,Mersin,2013-2014,99.86,54.28,45.58,2014
TR622,Mersin,2014-2015,103.77,53.87,49.89,2015
TR622,Mersin,2015-2016,107.48,56.91,50.58,2016
TR622,Mersin,2016-2017,106.17,56.81,49.37,2017
TR622,Mersin,2017-2018,104.98,63.35,41.63,2018
TR622,Mersin,2018-2019,106.7,65.52,41.18,2019
TR622,Mersin,2019-2020,107.04,69.05,37.99,2020
TR622,Mersin,2020-2021,114.98,73.35,41.63,2021
TR622,Mersin,2021-2022,106.45,67.18,39.27,2022
TR622,Mersin,2022-2023,106.92,69.03,37.89,2023
TR622,Mersin,2023-2024,102.13,65.93,36.19,2024
TR622,Mersin,2024-2025,98.6,60.22,38.37,2025
TR323,Mugla,2010-2011,89.87,52.25,37.62,2011
TR323,Mugla,2011-2012,94.61,53.74,40.87,2012
TR323,Mugla,2012-2013,96.24,55.05,41.19,2013
TR323,Mugla,2013-2014,109.13,64.94,44.19,2014
TR323,Mugla,2014-2015,111.13,66.1,45.03,2015
TR323,Mugla,2015-2016,114.44,70.95,43.5,2016
TR323,Mugla,2016-2017,112.78,70.95,41.83,2017
TR323,Mugla,2017-2018,110.72,53.08,57.63,2018
TR323,Mugla,2018-2019,110.26,56.76,53.5,2019
TR323,Mugla,2019-2020,111.42,63.2,48.21,2020
TR323,Mugla,2020-2021,123.17,71.13,52.04,2021
TR323,Mugla,2021-2022,111.41,64.37,47.03,2022
TR323,Mugla,2022-2023,117.4,70.44,46.96,2023
TR323,Mugla,2023-2024,106.0,59.86,46.14,2024
TR323,Mugla,2024-2025,101.21,61.2,40.01,2025
TRB22,Mus,2010-2011,41.22,17.92,23.3,2011
TRB22,Mus,2011-2012,46.33,19.33,27.0,2012
TRB22,Mus,2012-2013,53.29,20.93,32.35,2013
TRB22,Mus,2013-2014,62.94,27.77,35.18,2014
TRB22,Mus,2014-2015,71.23,31.75,39.49,2015
TRB22,Mus,2015-2016,68.89,31.42,37.47,2016
TRB22,Mus,2016-2017,66.86,29.72,37.14,2017
TRB22,Mus,2017-2018,123.1,68.05,55.04,2018
TRB22,Mus,2018-2019,122.75,68.76,53.99,2019
TRB22,Mus,2019-2020,124.04,76.29,47.75,2020
TRB22,Mus,2020-2021,134.84,83.98,50.86,2021
TRB22,Mus,2021-2022,123.05,73.0,50.05,2022
TRB22,Mus,2022-2023,126.87,77.37,49.5,2023
TRB22,Mus,2023-2024,114.15,66.56,47.6,2024
TRB22,Mus,2024-2025,80.2,42.86,37.34,2025
TR714,Nevsehir,2010-2011,78.8,40.08,38.72,2011
TR714,Nevsehir,2011-2012,81.1,40.68,40.42,2012
TR714,Nevsehir,2012-2013,81.87,42.05,39.82,2013
TR714,Nevsehir,2013-2014,93.32,49.31,44.01,2014
TR714,Nevsehir,2014-2015,99.04,53.43,45.61,2015
TR714,Nevsehir,2015-2016,105.62,58.55,47.08,2016
TR714,Nevsehir,2016-2017,103.31,58.02,45.28,2017
TR714,Nevsehir,2017-2018,114.79,71.25,43.54,2018
TR714,Nevsehir,2018-2019,115.24,74.17,41.07,2019
TR714,Nevsehir,2019-2020,115.58,78.0,37.58,2020
TR714,Nevsehir,2020-2021,126.49,83.86,42.63,2021
TR714,Nevsehir,2021-2022,117.34,74.81,42.54,2022
TR714,Nevsehir,2022-2023,115.59,74.8,40.79,2023
TR714,Nevsehir,2023-2024,108.13,67.38,40.75,2024
TR714,Nevsehir,2024-2025,96.78,55.52,41.26,2025
TR713,Nigde,2010-2011,69.27,34.04,35.24,2011
TR713,Nigde,2011-2012,72.24,35.38,36.87,2012
TR713,Nigde,2012-2013,77.41,38.43,38.98,2013
TR713,Nigde,2013-2014,90.24,47.92,42.32,2014
TR713,Nigde,2014-2015,95.3,48.69,46.62,2015
TR713,Nigde,2015-2016,99.05,54.23,44.82,2016
TR713,Nigde,2016-2017,96.42,53.96,42.46,2017
TR713,Nigde,2017-2018,110.83,60.28,50.55,2018
TR713,Nigde,2018-2019,109.16,63.26,45.9,2019
TR713,Nigde,2019-2020,111.05,70.59,40.46,2020
TR713,Nigde,2020-2021,121.24,77.11,44.13,2021
TR713,Nigde,2021-2022,112.81,71.04,41.77,2022
TR713,Nigde,2022-2023,113.34,72.35,40.98,2023
TR713,Nigde,2023-2024,105.71,63.95,41.76,2024
TR713,Nigde,2024-2025,95.46,58.05,37.41,2025
TR902,Ordu,2010-2011,76.09,36.21,39.88,2011
TR902,Ordu,2011-2012,81.27,37.49,43.78,2012
TR902,Ordu,2012-2013,85.01,37.29,47.72,2013
TR902,Ordu,2013-2014,93.51,41.15,52.36,2014
TR902,Ordu,2014-2015,100.22,42.34,57.88,2015
TR902,Ordu,2015-2016,105.25,47.01,58.24,2016
TR902,Ordu,2016-2017,104.81,47.55,57.26,2017
TR902,Ordu,2017-2018,118.79,72.03,46.76,2018
TR902,Ordu,2018-2019,118.6,74.64,43.96,2019
TR902,Ordu,2019-2020,119.74,78.48,41.26,2020
TR902,Ordu,2020-2021,130.76,87.34,43.42,2021
TR902,Ordu,2021-2022,117.7,77.89,39.82,2022
TR902,Ordu,2022-2023,117.0,77.75,39.25,2023
TR902,Ordu,2023-2024,107.45,67.62,39.83,2024
TR902,Ordu,2024-2025,103.02,51.9,51.12,2025
TR633,Osmaniye,2010-2011,89.16,51.65,37.51,2011
TR633,Osmaniye,2011-2012,93.02,50.8,42.22,2012
TR633,Osmaniye,2012-2013,93.41,45.55,47.87,2013
TR633,Osmaniye,2013-2014,100.11,48.21,51.89,2014
TR633,Osmaniye,2014-2015,104.42,48.52,55.9,2015
TR633,Osmaniye,2015-2016,106.78,51.66,55.12,2016
TR633,Osmaniye,2016-2017,105.21,53.16,52.06,2017
TR633,Osmaniye,2017-2018,111.51,65.22,46.29,2018
TR633,Osmaniye,2018-2019,112.43,67.82,44.61,2019
TR633,Osmaniye,2019-2020,113.98,73.42,40.55,2020
TR633,Osmaniye,2020-2021,125.58,81.61,43.97,2021
TR633,Osmaniye,2021-2022,117.62,75.18,42.44,2022
TR633,Osmaniye,2022-2023,114.43,74.42,40.0,2023
TR633,Osmaniye,2023-2024,106.32,67.6,38.72,2024
TR633,Osmaniye,2024-2025,96.73,56.02,40.72,2025
TR904,Rize,2010-2011,115.83,50.7,65.13,2011
TR904,Rize,2011-2012,123.13,55.48,67.64,2012
TR904,Rize,2012-2013,128.43,59.1,69.33,2013
TR904,Rize,2013-2014,137.13,65.39,71.74,2014
TR904,Rize,2014-2015,140.23,65.36,74.86,2015
TR904,Rize,2015-2016,140.06,66.34,73.72,2016
TR904,Rize,2016-2017,136.45,63.29,73.15,2017
TR904,Rize,2017-2018,121.93,66.08,55.84,2018
TR904,Rize,2018-2019,117.27,66.61,50.66,2019
TR904,Rize,2019-2020,116.03,72.97,43.07,2020
TR904,Rize,2020-2021,124.91,80.54,44.37,2021
TR904,Rize,2021-2022,114.0,73.38,40.62,2022
TR904,Rize,2022-2023,116.79,76.34,40.45,2023
TR904,Rize,2023-2024,111.35,69.0,42.35,2024
TR904,Rize,2024-2025,112.09,56.75,55.35,2025
TR422,Sakarya,2010-2011,95.11,41.0,54.11,2011
TR422,Sakarya,2011-2012,99.73,42.16,57.57,2012
TR422,Sakarya,2012-2013,101.83,42.54,59.29,2013
TR422,Sakarya,2013-2014,110.55,48.69,61.85,2014
TR422,Sakarya,2014-2015,113.3,50.36,62.95,2015
TR422,Sakarya,2015-2016,115.08,53.99,61.09,2016
TR422,Sakarya,2016-2017,112.73,53.93,58.8,2017
TR422,Sakarya,2017-2018,113.44,54.62,58.81,2018
TR422,Sakarya,2018-2019,111.8,56.39,55.41,2019
TR422,Sakarya,2019-2020,115.67,63.65,52.02,2020
TR422,Sakarya,2020-2021,130.36,73.03,57.33,2021
TR422,Sakarya,2021-2022,119.28,66.83,52.45,2022
TR422,Sakarya,2022-2023,121.9,69.87,52.03,2023
TR422,Sakarya,2023-2024,110.83,61.51,49.32,2024
TR422,Sakarya,2024-2025,101.24,54.17,47.07,2025
TR831,Samsun,2010-2011,82.23,45.24,37.0,2011
TR831,Samsun,2011-2012,88.11,48.17,39.93,2012
TR831,Samsun,2012-2013,92.44,50.82,41.62,2013
TR831,Samsun,2013-2014,106.25,58.05,48.19,2014
TR831,Samsun,2014-2015,112.64,59.53,53.11,2015
TR831,Samsun,2015-2016,116.57,62.35,54.22,2016
TR831,Samsun,2016-2017,112.34,61.07,51.27,2017
TR831,Samsun,2017-2018,124.22,59.23,65.0,2018
TR831,Samsun,2018-2019,128.24,62.42,65.82,2019
TR831,Samsun,2019-2020,129.09,71.86,57.23,2020
TR831,Samsun,2020-2021,139.46,81.64,57.82,2021
TR831,Samsun,2021-2022,127.81,75.64,52.18,2022
TR831,Samsun,2022-2023,128.51,78.51,50.0,2023
TR831,Samsun,2023-2024,119.03,73.6,45.43,2024
TR831,Samsun,2024-2025,102.93,57.72,45.21,2025
TRC21,Sanliurfa,2010-2011,46.39,32.57,13.82,2011
TRC21,Sanliurfa,2011-2012,51.97,36.54,15.43,2012
TRC21,Sanliurfa,2012-2013,57.62,38.84,18.78,2013
TRC21,Sanliurfa,2013-2014,75.01,43.69,31.32,2014
TRC21,Sanliurfa,2014-2015,82.13,41.8,40.32,2015
TRC21,Sanliurfa,2015-2016,84.53,45.63,38.9,2016
TRC21,Sanliurfa,2016-2017,79.27,42.95,36.32,2017
TRC21,Sanliurfa,2017-2018,107.21,49.05,58.16,2018
TRC21,Sanliurfa,2018-2019,108.15,51.28,56.88,2019
TRC21,Sanliurfa,2019-2020,108.37,57.66,50.71,2020
TRC21,Sanliurfa,2020-2021,123.53,69.01,54.53,2021
TRC21,Sanliurfa,2021-2022,113.94,63.02,50.92,2022
TRC21,Sanliurfa,2022-2023,117.12,66.87,50.25,2023
TRC21,Sanliurfa,2023-2024,106.22,58.47,47.75,2024
TRC21,Sanliurfa,2024-2025,85.83,46.9,38.94,2025
TRC34,Siirt,2010-2011,57.92,37.71,20.21,2011
TRC34,Siirt,2011-2012,64.99,43.78,21.22,2012
TRC34,Siirt,2012-2013,70.97,46.72,24.25,2013
TRC34,Siirt,2013-2014,82.28,50.74,31.54,2014
TRC34,Siirt,2014-2015,94.18,53.39,40.79,2015
TRC34,Siirt,2015-2016,95.28,53.76,41.52,2016
TRC34,Siirt,2016-2017,89.7,47.53,42.16,2017
TRC34,Siirt,2017-2018,111.97,52.81,59.16,2018
TRC34,Siirt,2018-2019,108.32,52.15,56.17,2019
TRC34,Siirt,2019-2020,112.97,62.53,50.44,2020
TRC34,Siirt,2020-2021,125.0,71.99,53.02,2021
TRC34,Siirt,2021-2022,116.29,67.11,49.18,2022
TRC34,Siirt,2022-2023,118.36,70.61,47.75,2023
TRC34,Siirt,2023-2024,109.31,62.85,46.46,2024
TRC34,Siirt,2024-2025,92.73,50.56,42.17,2025
TR823,Sinop,2010-2011,84.72,42.76,41.96,2011
TR823,Sinop,2011-2012,93.56,49.06,44.49,2012
TR823,Sinop,2012-2013,95.96,49.76,46.2,2013
TR823,Sinop,2013-2014,111.45,61.15,50.3,2014
TR823,Sinop,2014-2015,114.63,61.14,53.49,2015
TR823,Sinop,2015-2016,119.68,64.86,54.83,2016
TR823,Sinop,2016-2017,113.98,61.9,52.07,2017
TR823,Sinop,2017-2018,111.85,48.95,62.9,2018
TR823,Sinop,2018-2019,111.16,52.21,58.95,2019
TR823,Sinop,2019-2020,113.87,57.31,56.56,2020
TR823,Sinop,2020-2021,126.76,65.55,61.21,2021
TR823,Sinop,2021-2022,114.88,59.79,55.09,2022
TR823,Sinop,2022-2023,116.19,61.71,54.49,2023
TR823,Sinop,2023-2024,110.24,54.26,55.97,2024
TR823,Sinop,2024-2025,99.83,53.26,46.58,2025
TRC33,Sirnak,2010-2011,53.61,37.66,15.94,2011
TRC33,Sirnak,2011-2012,60.15,42.06,18.09,2012
TRC33,Sirnak,2012-2013,67.5,45.6,21.9,2013
TRC33,Sirnak,2013-2014,86.6,54.34,32.27,2014
TRC33,Sirnak,2014-2015,94.58,43.5,51.07,2015
TRC33,Sirnak,2015-2016,90.42,43.07,47.35,2016
TRC33,Sirnak,2016-2017,79.68,36.22,43.46,2017
TRC33,Sirnak,2017-2018,107.88,50.08,57.8,2018
TRC33,Sirnak,2018-2019,105.97,52.82,53.15,2019
TRC33,Sirnak,2019-2020,110.82,59.3,51.52,2020
TRC33,Sirnak,2020-2021,124.36,67.1,57.26,2021
TRC33,Sirnak,2021-2022,120.29,62.93,57.37,2022
TRC33,Sirnak,2022-2023,118.88,63.4,55.48,2023
TRC33,Sirnak,2023-2024,109.12,56.23,52.9,2024
TRC33,Sirnak,2024-2025,95.27,49.26,46.01,2025
TR722,Sivas,2010-2011,81.69,44.15,37.54,2011
TR722,Sivas,2011-2012,86.46,46.32,40.14,2012
TR722,Sivas,2012-2013,91.69,49.38,42.31,2013
TR722,Sivas,2013-2014,103.74,56.85,46.89,2014
TR722,Sivas,2014-2015,112.05,57.22,54.83,2015
TR722,Sivas,2015-2016,113.4,61.62,51.78,2016
TR722,Sivas,2016-2017,111.37,60.83,50.54,2017
TR722,Sivas,2017-2018,120.54,61.98,58.56,2018
TR722,Sivas,2018-2019,118.5,63.21,55.29,2019
TR722,Sivas,2019-2020,120.59,67.08,53.51,2020
TR722,Sivas,2020-2021,132.26,73.84,58.42,2021
TR722,Sivas,2021-2022,118.94,63.93,55.01,2022
TR722,Sivas,2022-2023,120.49,66.22,54.27,2023
TR722,Sivas,2023-2024,112.47,58.43,54.05,2024
TR722,Sivas,2024-2025,102.9,61.16,41.74,2025
TR211,Tekirdag,2010-2011,98.77,50.14,48.63,2011
TR211,Tekirdag,2011-2012,102.74,52.07,50.67,2012
TR211,Tekirdag,2012-2013,103.42,53.15,50.28,2013
TR211,Tekirdag,2013-2014,109.45,58.72,50.74,2014
TR211,Tekirdag,2014-2015,110.39,58.21,52.17,2015
TR211,Tekirdag,2015-2016,112.38,62.15,50.23,2016
TR211,Tekirdag,2016-2017,109.23,61.08,48.15,2017
TR211,Tekirdag,2017-2018,108.89,61.44,47.45,2018
TR211,Tekirdag,2018-2019,109.45,64.38,45.07,2019
TR211,Tekirdag,2019-2020,111.58,69.32,42.26,2020
TR211,Tekirdag,2020-2021,123.24,76.98,46.26,2021
TR211,Tekirdag,2021-2022,114.06,69.99,44.07,2022
TR211,Tekirdag,2022-2023,114.68,72.54,42.14,2023
TR211,Tekirdag,2023-2024,106.84,66.06,40.77,2024
TR211,Tekirdag,2024-2025,100.18,59.36,40.81,2025
TR832,Tokat,2010-2011,76.86,36.79,40.07,2011
TR832,Tokat,2011-2012,82.33,38.73,43.6,2012
TR832,Tokat,2012-2013,84.04,38.23,45.8,2013
TR832,Tokat,2013-2014,99.08,48.01,51.08,2014
TR832,Tokat,2014-2015,105.14,50.99,54.15,2015
TR832,Tokat,2015-2016,107.83,51.96,55.87,2016
TR832,Tokat,2016-2017,105.84,50.36,55.48,2017
TR832,Tokat,2017-2018,114.47,64.83,49.64,2018
TR832,Tokat,2018-2019,114.3,67.48,46.83,2019
TR832,Tokat,2019-2020,116.46,72.39,44.07,2020
TR832,Tokat,2020-2021,130.87,83.35,47.52,2021
