province,year,population,in_migration,out_migration,net_migration,net_migration_rate
Bursa,2024,3238618.0,81656.0,66440.0,15216.0,4.709363326018799
Denizli,2021,1051056.0,30589.0,27480.0,3109.0,2.9623587960569853
Denizli,2022,1056332.0,29528.0,26478.0,3050.0,2.8915242314470797
Denizli,2023,1059082.0,32655.0,29994.0,2661.0,2.5157137569646557
Denizli,2024,1061371.0,25866.0,24816.0,1050.0,0.9897760843703987
Diyarbakır,2021,1791373.0,40414.0,60761.0,-20347.0,-11.294185301350812
Diyarbakır,2022,1804880.0,45963.0,59751.0,-13788.0,-7.610220700815885
Diyarbakır,2023,1818133.0,49440.0,63878.0,-14438.0,-7.909707278376992
Diyarbakır,2024,1833684.0,43561.0,50981.0,-7420.0,-4.038328197436152
Düzce,2021,400976.0,16828.0,14191.0,2637.0,6.598149665651214
Düzce,2022,405131.0,17049.0,15220.0,1829.0,4.524802921206828
Düzce,2023,409865.0,19891.0,16124.0,3767.0,9.233261802312114
Düzce,2024,412344.0,15051.0,13450.0,1601.0,3.890232745748627
Edirne,2021,412115.0,19443.0,15822.0,3621.0,8.825153026593664
Edirne,2022,414714.0,19699.0,16197.0,3502.0,8.480178611643174
Edirne,2023,419913.0,22281.0,17181.0,5100.0,12.219578640176536
Edirne,2024,421247.0,17332.0,16323.0,1009.0,2.398141381010951
Elazığ,2021,588088.0,20800.0,22429.0,-1629.0,-2.7661624802068254
Elazığ,2022,591497.0,21060.0,22271.0,-1211.0,-2.0452539889630597
Elazığ,2023,604411.0,35924.0,24456.0,11468.0,19.155571368200214
Elazığ,2024,603941.0,20035.0,23315.0,-3280.0,-5.416286178067014
Erzincan,2021,237351.0,16049.0,13564.0,2485.0,10.524822274505153
Erzincan,2022,239223.0,15946.0,15542.0,404.0,1.690228055275478
Erzincan,2023,243399.0,19786.0,19054.0,732.0,3.0119366505783165
Erzincan,2024,241239.0,12737.0,15638.0,-2901.0,-11.953545579845853
Erzurum,2021,756893.0,28554.0,36798.0,-8244.0,-10.832900796961953
Erzurum,2022,749754.0,26629.0,39159.0,-12530.0,-16.57365754035282
Erzurum,2023,749993.0,34129.0,38115.0,-3986.0,-5.300630596846218
Erzurum,2024,745005.0,22614.0,34522.0,-11908.0,-15.857057442550126
Eskişehir,2021,898369.0,36776.0,31532.0,5244.0,5.854331636053484
Eskişehir,2022,906617.0,37278.0,29766.0,7512.0,8.320217619323461
Eskişehir,2023,915418.0,45072.0,34020.0,11052.0,12.146496507277787
Eskişehir,2024,921630.0,35984.0,29165.0,6819.0,7.4263208020295775
Gaziantep,2021,2130432.0,50203.0,57475.0,-7272.0,-3.4075765158373583
Gaziantep,2022,2154051.0,50192.0,55699.0,-5507.0,-2.553314405640381
Gaziantep,2023,2164134.0,65524.0,73835.0,-8311.0,-3.832975255379874
Gaziantep,2024,2193363.0,56097.0,49330.0,6767.0,3.0899832624004016
Giresun,2021,450154.0,21392.0,19575.0,1817.0,4.044559155294822
Giresun,2022,450862.0,20947.0,20130.0,817.0,1.8137277210633285
Giresun,2023,461712.0,35227.0,22520.0,12707.0,27.90548545816099
Giresun,2024,455922.0,17348.0,22932.0,-5584.0,-12.173162362605021
Gümüşhane,2021,150119.0,14114.0,11611.0,2503.0,16.813609417770834
Gümüşhane,2022,144544.0,11496.0,15580.0,-4084.0,-27.860777973339882
Gümüşhane,2023,148539.0,24177.0,13873.0,10304.0,71.86146582326153
Gümüşhane,2024,142617.0,12288.0,18526.0,-6238.0,-42.80342537190536
Hakkari,2021,278218.0,7886.0,13088.0,-5202.0,-18.524387594856474
Hakkari,2022,275333.0,9783.0,13928.0,-4145.0,-14.942025302310155
Hakkari,2023,287625.0,14956.0,12732.0,2224.0,7.7623004889830485
Hakkari,2024,282191.0,8478.0,14112.0,-5634.0,-19.767866165160278
Hatay,2021,1670712.0,35929.0,49001.0,-13072.0,-7.793719235318808
Hatay,2022,1686043.0,39530.0,47597.0,-8067.0,-4.773156718053887
Hatay,2023,1544640.0,37068.0,164247.0,-127179.0,-79.08013128723232
Hatay,2024,1562185.0,52193.0,49835.0,2358.0,1.510564341200482
Isparta,2021,445678.0,22632.0,19998.0,2634.0,5.9276129093237255
Isparta,2022,445325.0,20948.0,20653.0,295.0,0.662657030061043
Isparta,2023,449777.0,25149.0,21847.0,3302.0,7.368463333973034
Isparta,2024,446409.0,18046.0,19526.0,-1480.0,-3.3098586824526053
Iğdır,2021,203159.0,7563.0,10173.0,-2610.0,-12.76508333985445
Iğdır,2022,203594.0,9827.0,11673.0,-1846.0,-9.026144525882934
Iğdır,2023,209738.0,12781.0,10830.0,1951.0,9.345548170768218
Iğdır,2024,206857.0,8000.0,11778.0,-3778.0,-18.098550391384745
Kahramanmaraş,2021,1171298.0,27246.0,35647.0,-8401.0,-7.146755185140602
Kahramanmaraş,2022,1177436.0,29319.0,34501.0,-5182.0,-4.391424941971667
