province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k,high_justice_risk
Batman,batman,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,626319.0,19002.0,24411.0,-5409.0,-8.599042802057475,136056,0.21723115536970777,544620.0,23943.0,78318.0,128543.0,111169.0,59465.0,6489.0,537.0,0.0439627630274319,0.2041221402078513,0.1091862215856927,0.0129007381293378,0.12208695971503067,TRC32,2020-2021,134.91,77.67,57.24,56093.0,30809.0,25284.0,23335.0,32758.0,8955.979301282574,4036.92048301265,0
Bayburt,bayburt,2021,Karadeniz,Kuzeydoğu Anadolu,85042.0,9019.0,6382.0,2637.0,31.496533231410535,19796,0.2327790973871734,78238.0,2756.0,6682.0,12765.0,20536.0,11192.0,1216.0,313.0,0.0352258493315268,0.2624811472685907,0.1430506914798435,0.0195429331015619,0.16259362458140544,TRA13,2020-2021,118.34,69.17,49.17,4813.0,1836.0,2977.0,2900.0,1913.0,5659.556454457797,3500.62322146704,0
Bilecik,bilecik,2021,Marmara,Doğu Marmara,228334.0,11974.0,8855.0,3119.0,13.753750972882754,74267,0.3252559846540594,209217.0,3110.0,14372.0,34237.0,53598.0,33094.0,2863.0,466.0,0.0148649488330298,0.2561837709172773,0.1581802625981636,0.0159117088955486,0.17409197149371228,TR413,2020-2021,129.58,74.53,55.05,24853.0,7943.0,16910.0,15139.0,9714.0,10884.493767901407,7405.817793232721,1
Bingöl,bingol,2021,Doğu Anadolu,Ortadoğu Anadolu,283112.0,12027.0,13376.0,-1349.0,-4.753573549129364,58097,0.20520853937664246,252959.0,12737.0,29715.0,49398.0,64252.0,30476.0,3392.0,497.0,0.0503520333334651,0.2540016366288608,0.1204780221300685,0.0153740329460505,0.13585205507611905,TRB13,2020-2021,134.92,82.78,52.14,20860.0,9776.0,11084.0,11096.0,9764.0,7368.108734352482,3915.0583514651444,0
Bitlis,bitlis,2021,Doğu Anadolu,Ortadoğu Anadolu,352277.0,14158.0,18814.0,-4656.0,-13.130102508424867,65468,0.18584239107293407,307283.0,14085.0,44895.0,72529.0,58113.0,31339.0,3428.0,389.0,0.0458372249685143,0.1891188253173784,0.1019874187638105,0.0124217740649499,0.11440919282876046,TRB23,2020-2021,132.42,68.24,64.18,25423.0,12775.0,12648.0,13202.0,12221.0,7216.764080538894,3590.35645245077,0
Bolu,bolu,2021,Karadeniz,Doğu Marmara,320014.0,18470.0,14162.0,4308.0,13.553136601019316,99799,0.3118582312023849,289119.0,7171.0,21867.0,40767.0,72396.0,45068.0,5027.0,1219.0,0.0248029358153563,0.2504020835711247,0.1558804506103023,0.0216035611633963,0.1774840117736987,TR424,2020-2021,98.81,61.46,37.36,30421.0,11083.0,19338.0,18883.0,11538.0,9506.146606085984,6042.8606248476635,1
Burdur,burdur,2021,Akdeniz,Akdeniz,273716.0,15859.0,11489.0,4370.0,16.093926660307663,72915,0.26638925017171083,252330.0,4923.0,19837.0,39556.0,54670.0,38098.0,4189.0,802.0,0.0195101652597788,0.2166607220703047,0.1509848214639559,0.0197796536281853,0.17076447509214124,TR613,2020-2021,136.12,83.72,52.4,28572.0,12076.0,16496.0,17482.0,11090.0,10438.55675225416,6026.6845927896065,1
Bursa,bursa,2021,Marmara,Doğu Marmara,3147818.0,92019.0,76678.0,15341.0,4.885439298631672,1045956,0.3322796934257317,2843315.0,54019.0,238381.0,501253.0,667284.0,447631.0,43280.0,5685.0,0.0189985984669303,0.2346852177827641,0.1574327853227658,0.0172210957983902,0.17465388112115612,TR411,2020-2021,128.11,76.39,51.72,368609.0,182428.0,186181.0,175307.0,193302.0,11709.984503551348,5914.604973985154,1
Denizli,denizli,2021,Ege,Ege,1051056.0,30589.0,27480.0,3109.0,2.9623587960569853,332365,0.3162200681980789,960475.0,11620.0,86845.0,160408.0,212453.0,141862.0,14156.0,2528.0,0.01209818058773,0.2211957625133397,0.1476998360186366,0.0173705718524688,0.16507040787110544,TR322,2020-2021,135.51,91.69,43.81,108234.0,48757.0,59477.0,61448.0,46786.0,10297.643512809975,5658.785069492016,1
Diyarbakır,diyarbakir,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,1791373.0,40414.0,60761.0,-20347.0,-11.294185301350812,325722,0.1818281284802216,1555527.0,84017.0,256318.0,358652.0,284102.0,169860.0,19682.0,2101.0,0.0540119200759613,0.182640352755047,0.1091977188438387,0.0140036142092036,0.12320133305304247,TRC22,2020-2021,132.66,79.97,52.69,229126.0,139715.0,89411.0,94095.0,135031.0,12790.524363156082,4991.199487767204,0
