province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k
Siirt,siirt,2018,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,58714,,,,,,,,,,,,,,,TRC34,2017-2018,111.97,52.81,59.16,26118.0,13289.0,12829.0,14142.0,11976.0,,
Siirt,siirt,2019,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,56964,,,,,,,,,,,,,,,TRC34,2018-2019,108.32,52.15,56.17,24955.0,11976.0,12979.0,13930.0,11025.0,,
Siirt,siirt,2020,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,60903,,,,,,,,,,,,,,,TRC34,2019-2020,112.97,62.53,50.44,22710.0,11026.0,11684.0,10263.0,12447.0,,
Siirt,siirt,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,331980.0,12670.0,16340.0,-3670.0,-10.994113505983854,62188,0.18732453762274837,287430.0,17432.0,44069.0,71154.0,52188.0,29359.0,3208.0,470.0,0.0606478099015412,0.181567686045298,0.1021431305013394,0.0127961590648157,0.11493928956615523,TRC34,2020-2021,125.0,71.99,53.02,27970.0,12447.0,15523.0,16202.0,11768.0,8425.20633773119,4675.884089402976
Sinop,sinop,2011,Karadeniz,Batı Karadeniz,,,,,,43594,,,,,,,,,,,,,,,TR823,2010-2011,84.72,42.76,41.96,10444.0,1787.0,8657.0,8372.0,2072.0,,
Sinop,sinop,2012,Karadeniz,Batı Karadeniz,,,,,,44228,,,,,,,,,,,,,,,TR823,2011-2012,93.56,49.06,44.49,11611.0,2134.0,9477.0,9502.0,2109.0,,
Sinop,sinop,2013,Karadeniz,Batı Karadeniz,,,,,,43506,,,,,,,,,,,,,,,TR823,2012-2013,95.96,49.76,46.2,11351.0,2109.0,9242.0,9320.0,2031.0,,
Sinop,sinop,2014,Karadeniz,Batı Karadeniz,,,,,,42512,,,,,,,,,,,,,,,TR823,2013-2014,111.45,61.15,50.3,11109.0,2031.0,9078.0,9014.0,2095.0,,
Sinop,sinop,2015,Karadeniz,Batı Karadeniz,,,,,,45487,,,,,,,,,,,,,,,TR823,2014-2015,114.63,61.14,53.49,11576.0,2095.0,9481.0,9286.0,2290.0,,
Sinop,sinop,2016,Karadeniz,Batı Karadeniz,,,,,,45228,,,,,,,,,,,,,,,TR823,2015-2016,119.68,64.86,54.83,12737.0,2290.0,10447.0,9293.0,3444.0,,
Sinop,sinop,2017,Karadeniz,Batı Karadeniz,,,,,,48396,,,,,,,,,,,,,,,TR823,2016-2017,113.98,61.9,52.07,13869.0,3444.0,10425.0,9379.0,4490.0,,
Sinop,sinop,2018,Karadeniz,Batı Karadeniz,,,,,,48241,,,,,,,,,,,,,,,TR823,2017-2018,111.85,48.95,62.9,14676.0,4490.0,10186.0,10254.0,4422.0,,
Sinop,sinop,2019,Karadeniz,Batı Karadeniz,,,,,,45901,,,,,,,,,,,,,,,TR823,2018-2019,111.16,52.21,58.95,14550.0,4422.0,10128.0,10020.0,4530.0,,
Sinop,sinop,2020,Karadeniz,Batı Karadeniz,,,,,,49050,,,,,,,,,,,,,,,TR823,2019-2020,113.87,57.31,56.56,13874.0,4530.0,9344.0,8790.0,5084.0,,
Sinop,sinop,2021,Karadeniz,Batı Karadeniz,218408.0,13211.0,10548.0,2663.0,12.267564660384704,51970,0.23794915937145159,203160.0,6903.0,18939.0,31017.0,37898.0,26018.0,2441.0,508.0,0.0339781453041937,0.1865426265012797,0.1280665485331758,0.0145156526875369,0.14258220122071275,TR823,2020-2021,126.76,65.55,61.21,15725.0,5084.0,10641.0,9895.0,5830.0,7199.827845133878,4872.074282993297
Sivas,sivas,2011,İç Anadolu,Orta Anadolu,,,,,,121893,,,,,,,,,,,,,,,TR722,2010-2011,81.69,44.15,37.54,40575.0,13962.0,26613.0,27929.0,12646.0,,
Sivas,sivas,2012,İç Anadolu,Orta Anadolu,,,,,,124852,,,,,,,,,,,,,,,TR722,2011-2012,86.46,46.32,40.14,37819.0,12646.0,25173.0,24961.0,12858.0,,
Sivas,sivas,2013,İç Anadolu,Orta Anadolu,,,,,,125123,,,,,,,,,,,,,,,TR722,2012-2013,91.69,49.38,42.31,38358.0,12858.0,25500.0,26450.0,11908.0,,
Sivas,sivas,2014,İç Anadolu,Orta Anadolu,,,,,,127932,,,,,,,,,,,,,,,TR722,2013-2014,103.74,56.85,46.89,37309.0,11909.0,25400.0,25045.0,12264.0,,
Sivas,sivas,2015,İç Anadolu,Orta Anadolu,,,,,,138831,,,,,,,,,,,,,,,TR722,2014-2015,112.05,57.22,54.83,36804.0,12264.0,24540.0,25002.0,11802.0,,
Sivas,sivas,2016,İç Anadolu,Orta Anadolu,,,,,,136832,,,,,,,,,,,,,,,TR722,2015-2016,113.4,61.62,51.78,36768.0,11802.0,24966.0,22233.0,14535.0,,
Sivas,sivas,2017,İç Anadolu,Orta Anadolu,,,,,,143150,,,,,,,,,,,,,,,TR722,2016-2017,111.37,60.83,50.54,44134.0,14535.0,29599.0,28424.0,15710.0,,
Sivas,sivas,2018,İç Anadolu,Orta Anadolu,,,,,,144742,,,,,,,,,,,,,,,TR722,2017-2018,120.54,61.98,58.56,46035.0,15710.0,30325.0,30706.0,15329.0,,
Sivas,sivas,2019,İç Anadolu,Orta Anadolu,,,,,,138517,,,,,,,,,,,,,,,TR722,2018-2019,118.5,63.21,55.29,43949.0,15328.0,28621.0,28965.0,14984.0,,
Sivas,sivas,2020,İç Anadolu,Orta Anadolu,,,,,,142759,,,,,,,,,,,,,,,TR722,2019-2020,120.59,67.08,53.51,41860.0,14984.0,26876.0,25599.0,16261.0,,
Sivas,sivas,2021,İç Anadolu,Orta Anadolu,636121.0,25720.0,28285.0,-2565.0,-4.024138555875517,148178,0.23293995953600022,582089.0,24586.0,54008.0,101023.0,133096.0,81717.0,8966.0,1799.0,0.0422375272509873,0.2286523194906621,0.1403857485710948,0.0184937354940567,0.15887948406515154,TR722,2020-2021,132.26,73.84,58.42,47202.0,16259.0,30943.0,30289.0,16913.0,7420.286392054341,4864.326126633141
Tekirdağ,tekirdag,2011,Marmara,Batı Marmara,,,,,,264654,,,,,,,,,,,,,,,TR211,2010-2011,98.77,50.14,48.63,58755.0,21173.0,37582.0,35329.0,23426.0,,
Tekirdağ,tekirdag,2012,Marmara,Batı Marmara,,,,,,278610,,,,,,,,,,,,,,,TR211,2011-2012,102.74,52.07,50.67,64769.0,23426.0,41343.0,36401.0,28368.0,,
Tekirdağ,tekirdag,2013,Marmara,Batı Marmara,,,,,,289433,,,,,,,,,,,,,,,TR211,2012-2013,103.42,53.15,50.28,70722.0,28370.0,42352.0,40679.0,30043.0,,
Tekirdağ,tekirdag,2014,Marmara,Batı Marmara,,,,,,308067,,,,,,,,,,,,,,,TR211,2013-2014,109.45,58.72,50.74,75099.0,30042.0,45057.0,42028.0,33071.0,,
Tekirdağ,tekirdag,2015,Marmara,Batı Marmara,,,,,,320639,,,,,,,,,,,,,,,TR211,2014-2015,110.39,58.21,52.17,79826.0,33071.0,46755.0,45723.0,34103.0,,
Tekirdağ,tekirdag,2016,Marmara,Batı Marmara,,,,,,330502,,,,,,,,,,,,,,,TR211,2015-2016,112.38,62.15,50.23,81916.0,34103.0,47813.0,40339.0,41577.0,,
Tekirdağ,tekirdag,2017,Marmara,Batı Marmara,,,,,,352405,,,,,,,,,,,,,,,TR211,2016-2017,109.23,61.08,48.15,99850.0,41577.0,58273.0,44496.0,55354.0,,
Tekirdağ,tekirdag,2018,Marmara,Batı Marmara,,,,,,346708,,,,,,,,,,,,,,,TR211,2017-2018,108.89,61.44,47.45,119112.0,55354.0,63758.0,56669.0,62443.0,,
Tekirdağ,tekirdag,2019,Marmara,Batı Marmara,,,,,,349064,,,,,,,,,,,,,,,TR211,2018-2019,109.45,64.38,45.07,129296.0,62444.0,66852.0,71356.0,57940.0,,
Tekirdağ,tekirdag,2020,Marmara,Batı Marmara,,,,,,382749,,,,,,,,,,,,,,,TR211,2019-2020,111.58,69.32,42.26,115139.0,57940.0,57199.0,55696.0,59443.0,,
Tekirdağ,tekirdag,2021,Marmara,Batı Marmara,1113400.0,60190.0,37516.0,22674.0,20.57414140570911,410113,0.36834291359798815,1015195.0,12516.0,86959.0,189177.0,242440.0,141790.0,13423.0,1790.0,0.0123286659213254,0.2388112628608296,0.1396677485606213,0.0149852983909495,0.1546530469515709,TR211,2020-2021,123.24,76.98,46.26,127163.0,59444.0,67719.0,62603.0,64560.0,11421.142446560085,6082.180707742052
Tokat,tokat,2011,Karadeniz,Batı Karadeniz,,,,,,101927,,,,,,,,,,,,,,,TR832,2010-2011,76.86,36.79,40.07,28087.0,7175.0,20912.0,20761.0,7326.0,,
Tokat,tokat,2012,Karadeniz,Batı Karadeniz,,,,,,102991,,,,,,,,,,,,,,,TR832,2011-2012,82.33,38.73,43.6,28451.0,7326.0,21125.0,20695.0,7756.0,,
Tokat,tokat,2013,Karadeniz,Batı Karadeniz,,,,,,101952,,,,,,,,,,,,,,,TR832,2012-2013,84.04,38.23,45.8,29361.0,7756.0,21605.0,21404.0,7957.0,,
Tokat,tokat,2014,Karadeniz,Batı Karadeniz,,,,,,103981,,,,,,,,,,,,,,,TR832,2013-2014,99.08,48.01,51.08,32148.0,7957.0,24191.0,21648.0,10500.0,,
Tokat,tokat,2015,Karadeniz,Batı Karadeniz,,,,,,110191,,,,,,,,,,,,,,,TR832,2014-2015,105.14,50.99,54.15,34211.0,10500.0,23711.0,24505.0,9706.0,,
Tokat,tokat,2016,Karadeniz,Batı Karadeniz,,,,,,113838,,,,,,,,,,,,,,,TR832,2015-2016,107.83,51.96,55.87,33833.0,9706.0,24127.0,17885.0,15948.0,,
Tokat,tokat,2017,Karadeniz,Batı Karadeniz,,,,,,121568,,,,,,,,,,,,,,,TR832,2016-2017,105.84,50.36,55.48,45009.0,15948.0,29061.0,26301.0,18708.0,,
Tokat,tokat,2018,Karadeniz,Batı Karadeniz,,,,,,120230,,,,,,,,,,,,,,,TR832,2017-2018,114.47,64.83,49.64,48520.0,18710.0,29810.0,27541.0,20979.0,,
Tokat,tokat,2019,Karadeniz,Batı Karadeniz,,,,,,115037,,,,,,,,,,,,,,,TR832,2018-2019,114.3,67.48,46.83,49150.0,20979.0,28171.0,30919.0,18231.0,,
Tokat,tokat,2020,Karadeniz,Batı Karadeniz,,,,,,123666,,,,,,,,,,,,,,,TR832,2019-2020,116.46,72.39,44.07,43127.0,18231.0,24896.0,25439.0,17688.0,,
Tokat,tokat,2021,Karadeniz,Batı Karadeniz,602567.0,35555.0,31400.0,4155.0,6.91935495957881,129078,0.21421352314348446,555456.0,13070.0,64689.0,96752.0,110838.0,71423.0,7006.0,1309.0,0.0235302166148173,0.1995441583131697,0.1285844423320659,0.014969682567116,0.14355412489918193,TR832,2020-2021,130.87,83.35,47.52,44244.0,17688.0,26556.0,29191.0,15053.0,7342.5859696929965,4407.144765644319
Trabzon,trabzon,2011,Karadeniz,Doğu Karadeniz,,,,,,171627,,,,,,,,,,,,,,,TR901,2010-2011,97.43,47.34,50.1,39338.0,13890.0,25448.0,26124.0,13214.0,,
Trabzon,trabzon,2012,Karadeniz,Doğu Karadeniz,,,,,,173505,,,,,,,,,,,,,,,TR901,2011-2012,102.76,49.33,53.42,39614.0,13214.0,26400.0,24937.0,14677.0,,
Trabzon,trabzon,2013,Karadeniz,Doğu Karadeniz,,,,,,175253,,,,,,,,,,,,,,,TR901,2012-2013,107.09,51.72,55.37,39660.0,14676.0,24984.0,24255.0,15405.0,,
Trabzon,trabzon,2014,Karadeniz,Doğu Karadeniz,,,,,,180415,,,,,,,,,,,,,,,TR901,2013-2014,117.37,57.73,59.64,40478.0,15405.0,25073.0,24158.0,16320.0,,
Trabzon,trabzon,2015,Karadeniz,Doğu Karadeniz,,,,,,187114,,,,,,,,,,,,,,,TR901,2014-2015,124.13,57.6,66.53,42600.0,16320.0,26280.0,26633.0,15967.0,,
Trabzon,trabzon,2016,Karadeniz,Doğu Karadeniz,,,,,,197043,,,,,,,,,,,,,,,TR901,2015-2016,122.6,60.1,62.5,44801.0,15967.0,28834.0,25558.0,19243.0,,
Trabzon,trabzon,2017,Karadeniz,Doğu Karadeniz,,,,,,207475,,,,,,,,,,,,,,,TR901,2016-2017,119.17,59.55,59.62,49266.0,19243.0,30023.0,28180.0,21086.0,,
Trabzon,trabzon,2018,Karadeniz,Doğu Karadeniz,,,,,,201489,,,,,,,,,,,,,,,TR901,2017-2018,120.01,70.33,49.68,55084.0,21087.0,33997.0,33769.0,21315.0,,
Trabzon,trabzon,2019,Karadeniz,Doğu Karadeniz,,,,,,194529,,,,,,,,,,,,,,,TR901,2018-2019,117.62,69.26,48.36,52131.0,21316.0,30815.0,31945.0,20186.0,,
Trabzon,trabzon,2020,Karadeniz,Doğu Karadeniz,,,,,,197323,,,,,,,,,,,,,,,TR901,2019-2020,120.21,79.22,41.0,48505.0,20186.0,28319.0,27750.0,20755.0,,
Trabzon,trabzon,2021,Karadeniz,Doğu Karadeniz,816684.0,29914.0,29442.0,472.0,0.578113976640276,206233,0.2525248443706501,744432.0,24411.0,71556.0,112988.0,187873.0,123035.0,13124.0,2886.0,0.0327914436778644,0.2523709351559309,0.1652736583059298,0.021506329658048,0.1867799879639779,TR901,2020-2021,133.19,85.44,47.76,53259.0,20755.0,32504.0,31652.0,21607.0,6521.371791292593,3979.997159243967
Tunceli,tunceli,2011,Doğu Anadolu,Ortadoğu Anadolu,,,,,,18154,,,,,,,,,,,,,,,TRB14,2010-2011,101.47,79.65,21.83,5775.0,1614.0,4161.0,4205.0,1570.0,,
Tunceli,tunceli,2012,Doğu Anadolu,Ortadoğu Anadolu,,,,,,19340,,,,,,,,,,,,,,,TRB14,2011-2012,104.88,81.13,23.74,5331.0,1570.0,3761.0,3646.0,1685.0,,
Tunceli,tunceli,2013,Doğu Anadolu,Ortadoğu Anadolu,,,,,,19792,,,,,,,,,,,,,,,TRB14,2012-2013,109.94,85.11,24.83,5279.0,1685.0,3594.0,3656.0,1623.0,,
Tunceli,tunceli,2014,Doğu Anadolu,Ortadoğu Anadolu,,,,,,19645,,,,,,,,,,,,,,,TRB14,2013-2014,121.23,88.11,33.12,7014.0,1645.0,5369.0,4114.0,2900.0,,
Tunceli,tunceli,2015,Doğu Anadolu,Ortadoğu Anadolu,,,,,,21753,,,,,,,,,,,,,,,TRB14,2014-2015,116.87,70.43,46.44,7184.0,2900.0,4284.0,3859.0,3325.0,,
Tunceli,tunceli,2016,Doğu Anadolu,Ortadoğu Anadolu,,,,,,20067,,,,,,,,,,,,,,,TRB14,2015-2016,120.22,73.61,46.61,7945.0,3325.0,4620.0,3345.0,4600.0,,
Tunceli,tunceli,2017,Doğu Anadolu,Ortadoğu Anadolu,,,,,,23371,,,,,,,,,,,,,,,TRB14,2016-2017,116.68,78.44,38.24,11284.0,4600.0,6684.0,5486.0,5798.0,,
Tunceli,tunceli,2018,Doğu Anadolu,Ortadoğu Anadolu,,,,,,25005,,,,,,,,,,,,,,,TRB14,2017-2018,103.08,52.85,50.23,12386.0,5798.0,6588.0,6229.0,6157.0,,
Tunceli,tunceli,2019,Doğu Anadolu,Ortadoğu Anadolu,,,,,,25603,,,,,,,,,,,,,,,TRB14,2018-2019,102.5,55.71,46.78,12154.0,6157.0,5997.0,6355.0,5799.0,,
Tunceli,tunceli,2020,Doğu Anadolu,Ortadoğu Anadolu,,,,,,26146,,,,,,,,,,,,,,,TRB14,2019-2020,105.99,61.15,44.84,11628.0,5799.0,5829.0,5492.0,6136.0,,
Tunceli,tunceli,2021,Doğu Anadolu,Ortadoğu Anadolu,83645.0,7054.0,6517.0,537.0,6.440663736184657,26860,0.3211190148843326,77692.0,4217.0,5872.0,10254.0,21453.0,14425.0,1352.0,229.0,0.0542784327858724,0.2761288163517479,0.185669052154662,0.020349585542913,0.20601863769757503,TRB14,2020-2021,119.94,68.72,51.22,12831.0,6136.0,6695.0,7190.0,5641.0,15339.82903939267,8004.064797656764
Uşak,usak,2011,Ege,Ege,,,,,,87183,,,,,,,,,,,,,,,TR334,2010-2011,90.81,49.93,40.88,26033.0,8320.0,17713.0,16785.0,9248.0,,
Uşak,usak,2012,Ege,Ege,,,,,,89398,,,,,,,,,,,,,,,TR334,2011-2012,94.31,52.08,42.24,26960.0,9248.0,17712.0,16503.0,10457.0,,
Uşak,usak,2013,Ege,Ege,,,,,,90807,,,,,,,,,,,,,,,TR334,2012-2013,94.98,53.73,41.26,28135.0,10457.0,17678.0,16525.0,11610.0,,
Uşak,usak,2014,Ege,Ege,,,,,,93937,,,,,,,,,,,,,,,TR334,2013-2014,104.99,64.64,40.35,28847.0,11610.0,17237.0,16686.0,12161.0,,
Uşak,usak,2015,Ege,Ege,,,,,,98939,,,,,,,,,,,,,,,TR334,2014-2015,108.99,67.96,41.04,30056.0,12161.0,17895.0,18418.0,11638.0,,
Uşak,usak,2016,Ege,Ege,,,,,,102674,,,,,,,,,,,,,,,TR334,2015-2016,112.66,71.86,40.81,29317.0,11638.0,17679.0,16377.0,12940.0,,
Uşak,usak,2017,Ege,Ege,,,,,,107629,,,,,,,,,,,,,,,TR334,2016-2017,109.33,68.18,41.15,31883.0,12940.0,18943.0,16767.0,15116.0,,
Uşak,usak,2018,Ege,Ege,,,,,,104008,,,,,,,,,,,,,,,TR334,2017-2018,106.6,55.66,50.93,35617.0,15116.0,20501.0,17881.0,17736.0,,
Uşak,usak,2019,Ege,Ege,,,,,,104260,,,,,,,,,,,,,,,TR334,2018-2019,106.11,56.45,49.66,39438.0,17736.0,21702.0,22042.0,17396.0,,
Uşak,usak,2020,Ege,Ege,,,,,,111563,,,,,,,,,,,,,,,TR334,2019-2020,107.62,63.27,44.35,40109.0,17396.0,22713.0,22720.0,17389.0,,
Uşak,usak,2021,Ege,Ege,373183.0,13705.0,12231.0,1474.0,3.957620702061507,118469,0.3174555111031317,340378.0,5802.0,31150.0,57210.0,71895.0,44720.0,4563.0,888.0,0.0170457550135437,0.2112210542396982,0.1313833443994617,0.0160145485313386,0.14739789293080047,TR334,2020-2021,121.8,71.61,50.19,41381.0,17389.0,23992.0,24024.0,17357.0,11088.661594981551,6429.017398970478
Van,van,2011,Doğu Anadolu,Ortadoğu Anadolu,,,,,,89868,,,,,,,,,,,,,,,TRB21,2010-2011,48.65,34.76,13.89,36682.0,13699.0,22983.0,17827.0,18855.0,,
Van,van,2012,Doğu Anadolu,Ortadoğu Anadolu,,,,,,113889,,,,,,,,,,,,,,,TRB21,2011-2012,54.44,36.76,17.68,41069.0,18856.0,22213.0,20636.0,20433.0,,
Van,van,2013,Doğu Anadolu,Ortadoğu Anadolu,,,,,,113300,,,,,,,,,,,,,,,TRB21,2012-2013,47.4,27.44,19.96,46297.0,20435.0,25862.0,23857.0,22440.0,,
Van,van,2014,Doğu Anadolu,Ortadoğu Anadolu,,,,,,116178,,,,,,,,,,,,,,,TRB21,2013-2014,69.77,37.42,32.35,54735.0,26914.0,27821.0,27570.0,27165.0,,
Van,van,2015,Doğu Anadolu,Ortadoğu Anadolu,,,,,,126307,,,,,,,,,,,,,,,TRB21,2014-2015,76.22,34.95,41.27,55681.0,27165.0,28516.0,26566.0,29115.0,,
Van,van,2016,Doğu Anadolu,Ortadoğu Anadolu,,,,,,134307,,,,,,,,,,,,,,,TRB21,2015-2016,80.09,38.26,41.83,57717.0,29114.0,28603.0,20366.0,37351.0,,
Van,van,2017,Doğu Anadolu,Ortadoğu Anadolu,,,,,,153689,,,,,,,,,,,,,,,TRB21,2016-2017,78.17,37.62,40.56,76145.0,37351.0,38794.0,36949.0,39196.0,,
Van,van,2018,Doğu Anadolu,Ortadoğu Anadolu,,,,,,161287,,,,,,,,,,,,,,,TRB21,2017-2018,114.96,57.73,57.24,79903.0,39196.0,40707.0,36796.0,43107.0,,
Van,van,2019,Doğu Anadolu,Ortadoğu Anadolu,,,,,,165881,,,,,,,,,,,,,,,TRB21,2018-2019,114.74,60.4,54.34,83204.0,43107.0,40097.0,41937.0,41267.0,,
Van,van,2020,Doğu Anadolu,Ortadoğu Anadolu,,,,,,180946,,,,,,,,,,,,,,,TRB21,2019-2020,115.88,67.54,48.34,75523.0,41267.0,34256.0,34670.0,40853.0,,
Van,van,2021,Doğu Anadolu,Ortadoğu Anadolu,1141015.0,30318.0,58185.0,-27867.0,-24.12834858004491,195324,0.17118442789972085,989808.0,49617.0,169065.0,231111.0,163933.0,89522.0,11046.0,1552.0,0.0501279035934241,0.1656210093270614,0.090443803242649,0.0127277209317362,0.10317152417438534,TRB21,2020-2021,127.3,75.9,51.4,78934.0,40852.0,38082.0,37241.0,41693.0,6917.875750976104,3337.5547210159375
Yalova,yalova,2011,Marmara,Doğu Marmara,,,,,,53573,,,,,,,,,,,,,,,TR425,2010-2011,97.87,50.16,47.71,13372.0,4851.0,8521.0,8096.0,5276.0,,
Yalova,yalova,2012,Marmara,Doğu Marmara,,,,,,56900,,,,,,,,,,,,,,,TR425,2011-2012,104.48,51.03,53.45,14972.0,5276.0,9696.0,9013.0,5959.0,,
Yalova,yalova,2013,Marmara,Doğu Marmara,,,,,,61457,,,,,,,,,,,,,,,TR425,2012-2013,108.9,51.44,57.46,17059.0,5959.0,11100.0,9986.0,7073.0,,
Yalova,yalova,2014,Marmara,Doğu Marmara,,,,,,69734,,,,,,,,,,,,,,,TR425,2013-2014,113.29,59.97,53.32,18191.0,7073.0,11118.0,11491.0,6700.0,,
Yalova,yalova,2015,Marmara,Doğu Marmara,,,,,,73959,,,,,,,,,,,,,,,TR425,2014-2015,117.15,63.81,53.34,17874.0,6700.0,11174.0,10380.0,7494.0,,
Yalova,yalova,2016,Marmara,Doğu Marmara,,,,,,75102,,,,,,,,,,,,,,,TR425,2015-2016,116.97,67.05,49.92,18521.0,7494.0,11027.0,9196.0,9325.0,,
Yalova,yalova,2017,Marmara,Doğu Marmara,,,,,,79912,,,,,,,,,,,,,,,TR425,2016-2017,117.12,67.07,50.05,23188.0,9325.0,13863.0,11646.0,11542.0,,
Yalova,yalova,2018,Marmara,Doğu Marmara,,,,,,81940,,,,,,,,,,,,,,,TR425,2017-2018,114.87,61.33,53.53,27016.0,11542.0,15474.0,14861.0,12155.0,,
Yalova,yalova,2019,Marmara,Doğu Marmara,,,,,,87116,,,,,,,,,,,,,,,TR425,2018-2019,113.27,64.04,49.22,29691.0,12155.0,17536.0,18125.0,11566.0,,
Yalova,yalova,2020,Marmara,Doğu Marmara,,,,,,94371,,,,,,,,,,,,,,,TR425,2019-2020,114.1,70.51,43.59,27385.0,11566.0,15819.0,15827.0,11558.0,,
Yalova,yalova,2021,Marmara,Doğu Marmara,291001.0,16965.0,11564.0,5401.0,18.733925192637543,101754,0.3496689014814382,240071.0,3735.0,19004.0,40972.0,60024.0,41450.0,4489.0,685.0,0.0155578974553361,0.250026033964952,0.1726572555618962,0.0215519575458926,0.19420921310778894,TR425,2020-2021,129.33,82.32,47.01,32364.0,11557.0,20807.0,19333.0,13031.0,11121.611265940668,7150.147250353092
Yozgat,yozgat,2011,İç Anadolu,Orta Anadolu,,,,,,83730,,,,,,,,,,,,,,,TR723,2010-2011,67.73,30.42,37.31,19807.0,4965.0,14842.0,14727.0,5080.0,,
Yozgat,yozgat,2012,İç Anadolu,Orta Anadolu,,,,,,83316,,,,,,,,,,,,,,,TR723,2011-2012,74.53,33.12,41.42,21434.0,5223.0,16211.0,15807.0,5627.0,,
Yozgat,yozgat,2013,İç Anadolu,Orta Anadolu,,,,,,81325,,,,,,,,,,,,,,,TR723,2012-2013,79.69,34.29,45.39,21239.0,5627.0,15612.0,15563.0,5676.0,,
Yozgat,yozgat,2014,İç Anadolu,Orta Anadolu,,,,,,81106,,,,,,,,,,,,,,,TR723,2013-2014,93.66,45.88,47.78,21841.0,5676.0,16165.0,15707.0,6134.0,,
Yozgat,yozgat,2015,İç Anadolu,Orta Anadolu,,,,,,85294,,,,,,,,,,,,,,,TR723,2014-2015,97.94,50.01,47.93,22398.0,6134.0,16264.0,15978.0,6420.0,,
Yozgat,yozgat,2016,İç Anadolu,Orta Anadolu,,,,,,83625,,,,,,,,,,,,,,,TR723,2015-2016,102.57,54.35,48.22,24787.0,6420.0,18367.0,13538.0,11249.0,,
Yozgat,yozgat,2017,İç Anadolu,Orta Anadolu,,,,,,88507,,,,,,,,,,,,,,,TR723,2016-2017,100.17,53.58,46.59,31669.0,11249.0,20420.0,20184.0,11485.0,,
Yozgat,yozgat,2018,İç Anadolu,Orta Anadolu,,,,,,87432,,,,,,,,,,,,,,,TR723,2017-2018,115.11,67.54,47.57,30849.0,11486.0,19363.0,20553.0,10296.0,,
Yozgat,yozgat,2019,İç Anadolu,Orta Anadolu,,,,,,85527,,,,,,,,,,,,,,,TR723,2018-2019,115.54,66.99,48.54,29349.0,10295.0,19054.0,17943.0,11406.0,,
Yozgat,yozgat,2020,İç Anadolu,Orta Anadolu,,,,,,89198,,,,,,,,,,,,,,,TR723,2019-2020,116.74,69.64,47.1,27200.0,11406.0,15794.0,15078.0,12122.0,,
Yozgat,yozgat,2021,İç Anadolu,Orta Anadolu,418500.0,18320.0,22928.0,-4608.0,-10.950466250320815,91587,0.2188458781362007,379059.0,13011.0,38079.0,65485.0,78326.0,41484.0,4096.0,693.0,0.0343244719159814,0.2066327405496242,0.1094394276352757,0.0126339171474625,0.1220733447827383,TR723,2020-2021,127.05,76.55,50.5,30527.0,12121.0,18406.0,17700.0,12827.0,7294.384707287933,4398.088410991637
Zonguldak,zonguldak,2011,Karadeniz,Batı Karadeniz,,,,,,139794,,,,,,,,,,,,,,,TR811,2010-2011,91.23,47.85,43.38,32965.0,7579.0,25386.0,25648.0,7317.0,,
Zonguldak,zonguldak,2012,Karadeniz,Batı Karadeniz,,,,,,135254,,,,,,,,,,,,,,,TR811,2011-2012,97.09,49.73,47.36,32190.0,7317.0,24873.0,24738.0,7452.0,,
Zonguldak,zonguldak,2013,Karadeniz,Batı Karadeniz,,,,,,125348,,,,,,,,,,,,,,,TR811,2012-2013,99.31,49.6,49.71,33334.0,7452.0,25882.0,25083.0,8251.0,,
Zonguldak,zonguldak,2014,Karadeniz,Batı Karadeniz,,,,,,128260,,,,,,,,,,,,,,,TR811,2013-2014,109.71,57.44,52.27,33212.0,8251.0,24961.0,24629.0,8583.0,,
Zonguldak,zonguldak,2015,Karadeniz,Batı Karadeniz,,,,,,132899,,,,,,,,,,,,,,,TR811,2014-2015,112.63,56.93,55.7,33657.0,8583.0,25074.0,23061.0,10596.0,,
Zonguldak,zonguldak,2016,Karadeniz,Batı Karadeniz,,,,,,132059,,,,,,,,,,,,,,,TR811,2015-2016,114.48,60.41,54.07,36869.0,10596.0,26273.0,22340.0,14529.0,,
Zonguldak,zonguldak,2017,Karadeniz,Batı Karadeniz,,,,,,138418,,,,,,,,,,,,,,,TR811,2016-2017,111.6,58.97,52.63,43471.0,14529.0,28942.0,25462.0,18009.0,,
Zonguldak,zonguldak,2018,Karadeniz,Batı Karadeniz,,,,,,136719,,,,,,,,,,,,,,,TR811,2017-2018,111.45,52.46,59.0,49617.0,18010.0,31607.0,32828.0,16789.0,,
